CARD,DISC,HACK,INSD,PHYS,PORT,STAT,Index,Type
0.000228015,0.007761095,0.017337065,0.9727068,0.001646007,8.02E-08,0.000320909,293,INSD
0.000818815,0.010364403,0.020786196,0.9621069,0.00444613,7.81E-07,0.001476849,295,INSD
0.000271241,0.01188806,0.014224414,0.96951073,0.003723775,2.79E-07,0.000381481,296,INSD
0.0007601,0.006973821,0.024507126,0.96371996,0.003046624,3.35E-07,0.000992029,298,INSD
0.000698714,0.007236352,0.023083586,0.9647545,0.003369918,3.57E-07,0.000856653,301,INSD
0.1362821,0.013505831,0.08793143,0.6725768,0.022224307,6.80E-05,0.06741146,302,INSD
0.000298572,0.004515559,0.0794627,0.91385204,0.001624245,5.55E-08,0.000246838,304,INSD
0.008327635,0.016937217,0.033785038,0.90399295,0.01549817,1.62E-05,0.021442845,305,INSD
0.006472665,0.019609423,0.029380646,0.9075325,0.017575352,1.81E-05,0.01941129,308,INSD
0.024348637,0.020137444,0.038323127,0.8398912,0.024897447,6.77E-05,0.05233452,309,INSD
0.000328265,0.011089842,0.061984878,0.9233739,0.002815901,1.11E-07,0.00040725,312,INSD
0.000427666,0.019197086,0.013637029,0.95960194,0.006178918,9.77E-07,0.000956266,313,INSD
0.000264002,0.055549618,0.007664517,0.9243184,0.010890794,2.79E-06,0.001309878,319,INSD
0.013587122,0.014439147,0.042108428,0.8871835,0.017638545,1.93E-05,0.025024084,320,INSD
0.008073439,0.012035368,0.039939553,0.91457796,0.011299186,7.80E-06,0.014066719,321,INSD
0.002209005,0.01713122,0.023654208,0.9412598,0.009365436,4.33E-06,0.006376029,325,INSD
0.000679202,0.3989039,0.00192397,0.34060037,0.2467867,0.000598149,0.010507661,330,DISC
0.002177111,0.005604778,0.04748498,0.9381802,0.005103357,4.44E-07,0.001449088,331,INSD
0.001939359,0.007100215,0.033948615,0.949506,0.005177587,8.12E-07,0.002327501,333,INSD
4.25E-05,2.21E-06,0.99936897,0.000579213,3.90E-06,8.43E-12,3.07E-06,336,HACK
0.008944627,0.013864904,0.039995063,0.9037811,0.017131118,1.26E-05,0.016270557,339,INSD
0.001960669,0.026611418,0.01805917,0.9310622,0.014583964,1.00E-05,0.007712614,340,INSD
0.000905099,0.15545179,0.006549741,0.77922946,0.046892863,6.31E-05,0.0109079,341,INSD
0.00073092,0.01312583,0.018517723,0.961207,0.004804578,9.95E-07,0.00161306,342,INSD
0.000883785,0.036021117,0.014232112,0.9255979,0.021383846,5.13E-06,0.001876047,344,INSD
0.000450424,0.21722525,0.004915077,0.6732391,0.1019803,3.98E-05,0.002150045,350,INSD
0.006764398,0.12896301,0.001420025,0.08090865,0.6781754,0.01417991,0.08958861,351,PHYS
1.20E-08,0.98622584,3.20E-08,0.000251062,0.013300805,0.000186583,3.56E-05,354,DISC
0.000281127,0.004559882,0.02731401,0.9658216,0.001789047,7.24E-08,0.000234224,355,INSD
0.005382416,0.23056954,0.002514296,0.19347022,0.45562586,0.005074684,0.107363,358,PHYS
0.001776329,0.000369651,0.90698576,0.09009103,0.000510501,6.96E-09,0.000266662,360,HACK
0.001467326,0.006170346,0.03279355,0.95392275,0.004084034,4.82E-07,0.001561515,362,INSD
0.006063046,0.021160962,0.027884375,0.9070032,0.016249534,1.88E-05,0.021620058,364,INSD
0.006272301,0.092348546,0.013707897,0.7458407,0.079938166,0.000276778,0.06161557,366,INSD
0.016313048,0.010936248,0.055524576,0.8871495,0.013059961,9.91E-06,0.017006762,369,INSD
0.008597209,0.011572059,0.041803963,0.9109698,0.013038136,8.05E-06,0.014010889,370,INSD
0.018499602,0.018696014,0.03927781,0.86232996,0.024074629,4.55E-05,0.037076432,373,INSD
0.04349886,0.023984356,0.037449278,0.75425,0.038813747,0.000199257,0.10180446,378,INSD
0.93186873,0.000504662,0.039797265,0.020105591,0.000870088,8.41E-06,0.006845236,379,CARD
0.08058637,0.013320784,0.076133646,0.7488509,0.021834299,5.13E-05,0.059222735,380,INSD
0.001284717,0.013045543,0.021699939,0.95472366,0.006187105,1.83E-06,0.003057156,385,INSD
0.000251053,0.32208636,0.002765951,0.584537,0.08773505,5.87E-05,0.00256585,386,INSD
0.00695882,0.021318385,0.0286102,0.9025888,0.017513746,2.21E-05,0.022987869,387,INSD
0.003332075,0.010979768,0.033386607,0.9368602,0.009954105,3.24E-06,0.005483942,389,INSD
0.015233573,0.023917563,0.033955682,0.8424609,0.037086427,6.93E-05,0.04727664,393,INSD
0.00089643,0.014726137,0.018808117,0.955488,0.00864871,1.58E-06,0.001430881,394,INSD
0.001143618,0.008413514,0.025809452,0.9582912,0.004769988,7.37E-07,0.001571461,396,INSD
0.00161844,0.004354387,0.11600526,0.8737342,0.00347441,1.55E-07,0.000813314,397,INSD
0.001989789,0.017845431,0.022022732,0.9425329,0.008832732,4.46E-06,0.006771929,399,INSD
0.002446051,0.013180964,0.027351694,0.9427789,0.008721084,3.33E-06,0.005518019,402,INSD
